#
# point    x        y
#
    0     1.00     4.14
    1     1.10     4.34
    2     1.20     4.46
    3     1.30     2.98
    4     1.40     3.29
    5     1.50     3.28
    6     1.60     2.27
    7     1.70     4.19
    8     1.80     2.99
    9     1.90     3.11
   10     2.00     3.51
   11     2.10     3.32
   12     2.20     3.33
   13     2.30     2.37
   14     2.40     2.87
   15     2.50     2.21
   16     2.60     2.41
   17     2.70     2.77
   18     2.80     2.43
   19     2.90     3.00
   20     3.00     3.28
   21     3.10     3.49
   22     3.20     1.86
   23     3.30     2.07
   24     3.40     2.77
   25     3.50     3.32
   26     3.60     1.97
   27     3.70     2.93
   28     3.80     3.26
   29     3.90     1.91
   30     4.00     1.62
   31     4.10     1.36
   32     4.20     0.69
   33     4.30     1.54
   34     4.40     0.22
   35     4.50     0.20
   36     4.60     1.17
   37     4.70     1.28
   38     4.80     1.38
   39     4.90    -0.24
   40     5.00     0.58
   41     5.10     0.35
   42     5.20     0.07
   43     5.30    -0.06
   44     5.40    -0.23
   45     5.50     0.23
   46     5.60     0.94
   47     5.70    -0.96
   48     5.80    -0.75
   49     5.90    -0.87
   50     6.00    -1.89
   51     6.10    -1.34
   52     6.20    -2.00
   53     6.30    -2.14
   54     6.40    -1.61
   55     6.50    -2.37
   56     6.60    -1.43
   57     6.70    -3.56
   58     6.80    -3.27
   59     6.90    -3.50
   60     7.00    -3.21
   61     7.10    -2.98
   62     7.20    -4.57
   63     7.30    -5.62
   64     7.40    -4.08
   65     7.50    -5.26
   66     7.60    -4.96
   67     7.70    -4.97
   68     7.80    -5.66
   69     7.90    -5.22
   70     8.00    -5.53
   71     8.10    -6.27
   72     8.20    -5.66
   73     8.30    -5.89
   74     8.40    -4.74
   75     8.50    -7.39
   76     8.60    -7.26
   77     8.70    -6.98
   78     8.80    -8.24
   79     8.90    -6.94
   80     9.00    -9.41
   81     9.10    -9.32
   82     9.20    -9.25
   83     9.30    -9.61
   84     9.40   -10.47
   85     9.50   -11.16
   86     9.60   -11.11
   87     9.70    -9.19
   88     9.80   -11.28
   89     9.90   -12.45
   90    10.00   -12.47
   91    10.10   -12.80
   92    10.20   -11.92
   93    10.30   -11.43
   94    10.40   -13.99
   95    10.50   -13.92
   96    10.60   -14.21
   97    10.70   -15.65
   98    10.80   -15.05
   99    10.90   -16.07
#
