   0  -2.0000   0.5799 
   1  -1.9200  -0.5547 
   2  -1.8400  -1.5542 
   3  -1.7600  -1.3867 
   4  -1.6800  -3.9361 
   5  -1.6000  -4.2449 
   6  -1.5200  -4.2635 
   7  -1.4400  -1.9404 
   8  -1.3600  -2.6344 
   9  -1.2800  -2.6242 
  10  -1.2000  -3.1797 
  11  -1.1200  -3.6994 
  12  -1.0400  -4.7974 
  13  -0.9600  -2.8744 
  14  -0.8800  -2.3355 
  15  -0.8000  -5.5139 
  16  -0.7200  -4.8173 
  17  -0.6400  -3.3294 
  18  -0.5600  -4.8239 
  19  -0.4800  -2.8443 
  20  -0.4000  -5.3203 
  21  -0.3200  -5.6097 
  22  -0.2400  -3.6501 
  23  -0.1600  -3.7450 
  24  -0.0800  -5.4802 
  25   0.0000  -3.6093 
  26   0.0800  -2.9609 
  27   0.1600  -3.9432 
  28   0.2400  -0.8781 
  29   0.3200  -2.8006 
  30   0.4000  -1.6379 
  31   0.4800  -1.7284 
  32   0.5600  -0.3766 
  33   0.6400  -2.4452 
  34   0.7200  -3.1350 
  35   0.8000  -0.8628 
  36   0.8800  -2.3657 
  37   0.9600  -1.4475 
  38   1.0400  -0.1640 
  39   1.1200  -0.4589 
  40   1.2000   0.5242 
  41   1.2800   4.0321 
  42   1.3600   1.9741 
  43   1.4400   3.5378 
  44   1.5200   4.2395 
  45   1.6000   2.4205 
  46   1.6800   3.2084 
  47   1.7600   4.7531 
  48   1.8400   4.4180 
  49   1.9200   8.2687 
  50   2.0000   8.2743 
