   0   0.0353  -2.2533 
   1   0.2435  -5.6409 
   2  -0.0209  -1.8838 
   3   0.0888  -2.1881 
   4   0.0465  -1.2569 
   5   0.0508  -2.4215 
   6  -0.0028  -0.8729 
   7   0.0758  -1.0501 
   8   0.3000  -9.1828 
   9   0.4955 -15.8431 
  10   0.0727  -2.0228 
  11   0.3170  -8.0845 
  12   0.3963 -13.1661 
  13   0.3511 -10.0210 
  14   0.5721 -20.0173 
  15   0.4451 -16.2126 
  16   0.4690 -15.9628 
  17   0.6293 -20.3690 
  18   0.5457 -17.7296 
  19   0.4228 -11.5122 
  20   0.7336 -22.4068 
  21   0.8533 -19.6895 
  22   0.5935 -19.7038 
  23   0.5836 -19.8535 
  24   0.7838 -19.3878 
  25   0.8593 -20.6487 
  26   1.0386 -13.1819 
  27   0.9141 -17.7062 
  28   0.8437 -20.6488 
  29   0.8987 -18.4519 
  30   1.1565  -5.7672 
  31   0.8918 -19.3782 
  32   1.0197 -14.7985 
  33   0.9053 -19.1103 
  34   1.0702 -10.9695 
  35   1.1088  -9.5781 
  36   1.1298  -7.1257 
  37   1.2380  -2.4732 
  38   1.2335  -1.8046 
  39   1.2794   1.1581 
  40   1.1959  -3.2933 
  41   1.2343  -1.2351 
  42   1.3836   7.7729 
  43   1.3979   7.1790 
  44   1.2643   0.0559 
  45   1.1986  -4.1247 
  46   1.3458   4.4466 
  47   1.2707   0.4446 
  48   1.5407  12.6620 
  49   1.7689  10.4938 
  50   1.3006   1.5273 
  51   1.4884  10.2663 
  52   1.3874   7.2786 
  53   1.7822  11.4983 
  54   1.7359  13.4449 
  55   1.8272   9.2673 
  56   1.6474  12.9752 
  57   1.6335  14.0467 
  58   1.7615  11.6461 
  59   1.9213   6.9215 
  60   2.0621   0.5139 
  61   1.9098   8.7212 
  62   1.9163   6.4890 
  63   2.0067   4.4826 
  64   2.0490   1.0495 
  65   2.0226   3.1124 
  66   2.1173   0.8207 
  67   2.0327   2.6554 
  68   2.1102   1.7460 
  69   2.2444  -3.4001 
  70   2.2391  -3.7343 
  71   2.2309  -2.3556 
  72   2.0385   2.2997 
  73   2.4943  -1.6744 
  74   2.2412  -3.4749 
  75   2.4295  -0.7211 
  76   2.5763   2.5825 
  77   2.4383   0.1238 
  78   2.5412   2.4424 
  79   2.4142  -2.5297 
  80   2.4681   1.0786 
  81   2.6427   9.1371 
  82   2.6142   4.2572 
  83   2.7696  12.0905 
  84   2.5205   0.7029 
  85   2.5351   2.9104 
  86   3.1074  25.2441 
  87   2.4643   0.6288 
  88   3.0588  24.7652 
  89   2.6716   7.9465 
  90   2.7304  11.0674 
  91   2.9979  22.5597 
  92   2.9488  21.0105 
  93   3.0501  21.8920 
  94   2.8738  17.9176 
  95   3.2698  23.2706 
  96   3.1508  24.6004 
  97   3.2175  25.8318 
  98   3.1155  25.1763 
  99   3.1845  25.6872 
#
